"first_name","last_name","email","phone_number","address","registration_date","preferences"
John,Doe,john.doe@example.com,"1234567890","123 Main St",2022-01-15,"{""newsletter"": true, ""notifications"": {""sms"": false, ""email"": true}, ""preferred_actors"": [""Leonardo DiCaprio""], ""preferred_genres"": [""Drama"", ""Action"", ""Sci-Fi""]}"
Jane,Smith,jane.smith@example.com,"2345678901","456 Elm St",2022-02-20,"{""newsletter"": false, ""notifications"": {""sms"": true, ""email"": false}, ""preferred_actors"": [""Scarlett Johansson""], ""preferred_genres"": [""Drama""]}"
Michael,Johnson,michael.johnson@example.com,"3456789012","789 Oak St",2022-03-05,"{""newsletter"": true, ""notifications"": {""sms"": true, ""email"": true}, ""preferred_actors"": [""Brad Pitt""], ""preferred_genres"": [""Drama"", ""Comedy"", ""Romance""]}"
Emily,Davis,emily.davis@example.com,"4567890123","135 Pine St",2022-04-12,"{""newsletter"": true, ""notifications"": {""sms"": false, ""email"": false}, ""preferred_actors"": [""Tom Cruise""], ""preferred_genres"": [""Drama"", ""Action""]}"
William,Brown,william.brown@example.com,"5678901234","246 Maple St",2022-05-25,"{""newsletter"": false, ""notifications"": {""sms"": false, ""email"": true}, ""preferred_actors"": [""Robert Downey Jr.""], ""preferred_genres"": [""Sci-Fi"", ""Fantasy""]}"
Olivia,Wilson,olivia.wilson@example.com,"6789012345","357 Cedar St",2022-06-30,"{""newsletter"": true, ""notifications"": {""sms"": true, ""email"": true}, ""preferred_actors"": [""Chris Pratt""], ""preferred_genres"": [""Drama"", ""Animation""]}"
James,Taylor,james.taylor@example.com,"7890123456","468 Spruce St",2022-07-08,"{""newsletter"": false, ""notifications"": {""sms"": false, ""email"": false}, ""preferred_actors"": [""Chris Hemsworth""], ""preferred_genres"": [""Action""]}"
Sophia,Anderson,sophia.anderson@example.com,"8901234567","579 Birch St",2022-08-15,"{""newsletter"": true, ""preferred_actors"": [""Emma Stone""], ""preferred_genres"": [""Drama"", ""Drama"", ""Romance""]}"
Benjamin,Thomas,benjamin.thomas@example.com,"9012345678","680 Walnut St",2022-09-22,"{""newsletter"": false, ""preferred_actors"": [""Will Smith""], ""preferred_genres"": [""Comedy""]}"
Isabella,Jackson,isabella.jackson@example.com,"0123456789","791 Cherry St",2022-10-01,"{""newsletter"": true, ""preferred_actors"": [""Natalie Portman""], ""preferred_genres"": [""Drama"", ""Sci-Fi""]}"
Daniel,White,daniel.white@example.com,"1023456789","802 Ash St",2022-11-11,"{""newsletter"": true, ""preferred_actors"": [""Morgan Freeman""], ""preferred_genres"": [""Drama"", ""Thriller""]}"
Mia,Harris,mia.harris@example.com,"1123456789","913 Willow St",2022-12-20,"{""newsletter"": false, ""preferred_actors"": [""Tom Hanks""], ""preferred_genres"": [""Animation""]}"
Ethan,Martin,ethan.martin@example.com,"1223456789","124 Poplar St",2021-01-05,"{""newsletter"": true, ""preferred_actors"": [""Dwayne Johnson""], ""preferred_genres"": [""Drama"", ""Action""]}"
Charlotte,Thompson,charlotte.thompson@example.com,"1323456789","235 Fir St",2021-02-14,"{""newsletter"": true, ""preferred_actors"": [""Meryl Streep""], ""preferred_genres"": [""Drama"", ""Drama""]}"
Alexander,Garcia,alexander.garcia@example.com,"1423456789","346 Cypress St",2021-03-23,"{""newsletter"": false, ""preferred_actors"": [""Matt Damon""], ""preferred_genres"": [""Sci-Fi""]}"
Amelia,Martinez,amelia.martinez@example.com,"1523456789","457 Sycamore St",2021-04-30,"{""newsletter"": true, ""preferred_actors"": [""Jennifer Lawrence""], ""preferred_genres"": [""Drama"", ""Comedy""]}"
Jacob,Robinson,jacob.robinson@example.com,"1623456789","568 Palm St",2021-05-07,"{""newsletter"": true, ""preferred_actors"": [""Samuel L. Jackson""], ""preferred_genres"": [""Drama"", ""Action"", ""Thriller""]}"
Harper,Clark,harper.clark@example.com,"1723456789","679 Redwood St",2021-06-16,"{""newsletter"": false, ""preferred_actors"": [""Ellen DeGeneres""], ""preferred_genres"": [""Animation""]}"
