"customer_id","contact"
1,"{""full_name"" : ""John Doe"", ""contact"" : {""email"" : ""john.doe@example.com"", ""phone"" : ""1234567890""}}"
2,"{""full_name"" : ""Jane Smith"", ""contact"" : {""email"" : ""jane.smith@example.com"", ""phone"" : ""2345678901""}}"
3,"{""full_name"" : ""Michael Johnson"", ""contact"" : {""email"" : ""michael.johnson@example.com"", ""phone"" : ""3456789012""}}"
4,"{""full_name"" : ""Emily Davis"", ""contact"" : {""email"" : ""emily.davis@example.com"", ""phone"" : ""4567890123""}}"
5,"{""full_name"" : ""William Brown"", ""contact"" : {""email"" : ""william.brown@example.com"", ""phone"" : ""5678901234""}}"
6,"{""full_name"" : ""Olivia Wilson"", ""contact"" : {""email"" : ""olivia.wilson@example.com"", ""phone"" : ""6789012345""}}"
7,"{""full_name"" : ""James Taylor"", ""contact"" : {""email"" : ""james.taylor@example.com"", ""phone"" : ""7890123456""}}"
8,"{""full_name"" : ""Sophia Anderson"", ""contact"" : {""email"" : ""sophia.anderson@example.com"", ""phone"" : ""8901234567""}}"
9,"{""full_name"" : ""Benjamin Thomas"", ""contact"" : {""email"" : ""benjamin.thomas@example.com"", ""phone"" : ""9012345678""}}"
10,"{""full_name"" : ""Isabella Jackson"", ""contact"" : {""email"" : ""isabella.jackson@example.com"", ""phone"" : ""0123456789""}}"
11,"{""full_name"" : ""Daniel White"", ""contact"" : {""email"" : ""daniel.white@example.com"", ""phone"" : ""1023456789""}}"
12,"{""full_name"" : ""Mia Harris"", ""contact"" : {""email"" : ""mia.harris@example.com"", ""phone"" : ""1123456789""}}"
13,"{""full_name"" : ""Ethan Martin"", ""contact"" : {""email"" : ""ethan.martin@example.com"", ""phone"" : ""1223456789""}}"
14,"{""full_name"" : ""Charlotte Thompson"", ""contact"" : {""email"" : ""charlotte.thompson@example.com"", ""phone"" : ""1323456789""}}"
15,"{""full_name"" : ""Alexander Garcia"", ""contact"" : {""email"" : ""alexander.garcia@example.com"", ""phone"" : ""1423456789""}}"
16,"{""full_name"" : ""Amelia Martinez"", ""contact"" : {""email"" : ""amelia.martinez@example.com"", ""phone"" : ""1523456789""}}"
17,"{""full_name"" : ""Jacob Robinson"", ""contact"" : {""email"" : ""jacob.robinson@example.com"", ""phone"" : ""1623456789""}}"
18,"{""full_name"" : ""Harper Clark"", ""contact"" : {""email"" : ""harper.clark@example.com"", ""phone"" : ""1723456789""}}"
19,"{""full_name"" : ""Michael Rodriguez"", ""contact"" : {""email"" : ""michael.rodriguez@example.com"", ""phone"" : ""1823456789""}}"
20,"{""full_name"" : ""Evelyn Lewis"", ""contact"" : {""email"" : ""evelyn.lewis@example.com"", ""phone"" : ""1923456789""}}"
21,"{""full_name"" : ""Daniel Lee"", ""contact"" : {""email"" : ""daniel.lee@example.com"", ""phone"" : ""2023456789""}}"
22,"{""full_name"" : ""Sofia Walker"", ""contact"" : {""email"" : ""sofia.walker@example.com"", ""phone"" : ""2123456789""}}"
23,"{""full_name"" : ""Matthew Hall"", ""contact"" : {""email"" : ""matthew.hall@example.com"", ""phone"" : ""2223456789""}}"
24,"{""full_name"" : ""Avery Allen"", ""contact"" : {""email"" : ""avery.allen@example.com"", ""phone"" : ""2323456789""}}"
25,"{""full_name"" : ""Joseph Young"", ""contact"" : {""email"" : ""joseph.young@example.com"", ""phone"" : ""2423456789""}}"
26,"{""full_name"" : ""Ella Hernandez"", ""contact"" : {""email"" : ""ella.hernandez@example.com"", ""phone"" : ""2523456789""}}"
27,"{""full_name"" : ""David King"", ""contact"" : {""email"" : ""david.king@example.com"", ""phone"" : ""2623456789""}}"
28,"{""full_name"" : ""Abigail Wright"", ""contact"" : {""email"" : ""abigail.wright@example.com"", ""phone"" : ""2723456789""}}"
29,"{""full_name"" : ""Christopher Lopez"", ""contact"" : {""email"" : ""christopher.lopez@example.com"", ""phone"" : ""2823456789""}}"
30,"{""full_name"" : ""Avery Hill"", ""contact"" : {""email"" : ""avery.hill@example.com"", ""phone"" : ""2923456789""}}"
31,"{""full_name"" : ""Andrew Scott"", ""contact"" : {""email"" : ""andrew.scott@example.com"", ""phone"" : ""3023456789""}}"
